species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Lamottemys okuensis,Mount Oku rat,"['subtropical moist montane forests', 'tropical moist montane forests']",specialist,['Cameroon'],True,herbivorous,primary consumer,12.6,0.0879,low,endangered,decreasing,"['habitat destruction', 'forest clearing for agriculture', 'predation by genets and mongooses', 'hunting by local villagers']",Endemic to forested slopes of Mount Oku in Cameroon at altitudes 2100-3000 m; limited range with area of occupancy about 500 km2; medium-sized rodent with glossy dark brownish-black fur; likely herbivorous and terrestrial; low litter size; threatened by habitat degradation and hunting.
Macrotarsomys ingens,greater big-footed mouse,"['dry tropical forest', 'Ankarafantsika forest', 'burrows under rocks or tree roots', 'bushes and trees']",specialist,"['north-west Madagascar', 'Mahajanga Province']",True,"herbivorous (berries, fruit, nuts, seeds, roots, stems)",primary consumer,15.0,0.05,unknown,endangered,decreasing,"['habitat loss', 'habitat degradation by fire', 'logging', 'predation by feral animals']","Nocturnal rodent endemic to north-west Madagascar with a range less than 5,000 sq km; adapted for climbing; endangered due to habitat loss and predation."
Myosorex geata,Geata mouse shrew,"['subtropical moist montane forests', 'tropical moist montane forests']",specialist,['Tanzania'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of mammal in the family Soricidae endemic to Tanzania, inhabiting subtropical or tropical moist montane forests."
Niviventer hinpoon,limestone rat,['limestone karsts'],specialist,"['Saraburi', 'Lopburi', 'Nakhon Sawan', 'Thailand']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat fragmentation', 'mining']",Species is found only in highly fragmented limestone karst habitats in central Thailand and is threatened by mining activities.
Paraxerus vincenti,Vincent's bush squirrel,"['subtropical moist montane forests', 'tropical moist montane forests']",specialist,['Mozambique'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],"Vincent's bush squirrel is a rodent species endemic to Mozambique, inhabiting subtropical or tropical moist montane forests and threatened by habitat loss."
Praomys morio,Cameroon soft-furred mouse,"['subtropical moist montane forests', 'tropical moist montane forests']",specialist,"['Cameroon', 'Equatorial Guinea']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,threatened,decreasing,['habitat loss'],"Species of rodent in the family Muridae found in Cameroon and Equatorial Guinea, inhabiting subtropical or tropical moist montane forests."
Suncus dayi,Day's shrew,"['subtropical dry forests', 'tropical dry forests']",specialist,['India'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],"Day's shrew is a mammal in the family Soricidae, endemic to India, inhabiting subtropical or tropical dry forests and threatened by habitat loss."
Sylvisorex morio,Mount Cameroon forest shrew,"['subtropical moist montane forests', 'tropical moist montane forests']",specialist,['Cameroon'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Species is endemic to Cameroon and inhabits subtropical or tropical moist montane forests.
Tachyoryctes macrocephalus,giant root-rat,"['subtropical high-altitude grassland', 'tropical high-altitude grassland']",specialist,"['Ethiopia', 'Bale Mountains']",True,"herbivore (grasses, herbs, roots)",primary consumer,16.0,0.93,medium,endangered,decreasing,"['habitat loss', 'livestock competition', 'nutrient overloading of soil', 'habitat degradation', 'predation by Ethiopian wolf and other predators']","Endemic to Bale Mountains, Ethiopia; builds extensive tunnel networks up to 34 m; population densities up to 2600 individuals/km²; primary prey of Ethiopian wolf; threatened by habitat loss and livestock competition."
Tragelaphus buxtoni,mountain nyala,"['montane woodlands', 'heath forests', 'afroalpine grasslands']",specialist,"['Ethiopian Highlands east of the Rift Valley', 'Bale Mountains National Park', 'Chercher', 'Chilalo in Arsi Zone', 'western Bale']",True,"primarily browser, occasionally grazes; feeds on low-height herbs, bushes, shrubs, foliage, lichens, ferns, aquatic plants",herbivore,135.0,300.0,medium,endangered,decreasing,"['illegal hunting', 'habitat destruction', 'livestock encroachment', 'predation of calves by dogs', 'expansion of montane cultivation', 'construction at high altitudes', 'poaching']","Large sexually dimorphic antelope endemic to Ethiopian Highlands; males have spiral horns; shy and elusive; primarily browsers; population declined from 7,000-8,000 in 1960s to 2,000-4,000 in 1980s; main predator is leopard; conservation efforts include protected areas but threats remain significant."
Tupaia nicobarica,Nicobar treeshrew,"['rain forests', 'scrub jungle', 'moist deciduous forests', 'montane sholas']",specialist,"['Great Nicobar Island', 'Little Nicobar Island', 'Nicobar Islands, India']",True,insectivorous and frugivorous,primary consumer,19.33,0.17,unknown,endangered,unknown,"['habitat loss', 'anthropogenic activities', 'forest fragmentation', 'tsunami events', 'predation by sparrowhawks']",Endemic to Nicobar Islands; inhabits highest points up to 640 m; exhibits scansorial behavior; plays role in seed dispersal; small social structure; robust jaw morphology; diverged 12-19 million years ago.
Lophuromys dieterleni,Dieterlen's brush-furred mouse,['montane forest'],specialist,"['Mount Oku, Cameroon']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species is endemic to Mount Oku, Cameroon, inhabiting montane forests above 2000 m elevation."
Nesomys lambertoni,western nesomys,"['canyons', 'Tsingy de Bemaraha National Park']",specialist,['Madagascar'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Species is endemic to Madagascar and suspected to reside within the nooks and crannies of the canyons of the Tsingy de Bemaraha National Park.
Congosorex phillipsorum,Phillips' Congo shrew,[],unknown,['Tanzania'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of mammal in the family Soricidae, endemic to Tanzania."
Vandeleuria nilagirica,Nigiri vandeleuria,[],unknown,['India'],False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Also known as the Nigiri long-tailed tree mouse and the Indian long-tailed tree mouse; belongs to the family Muridae; there is some dispute about its taxonomic status but currently considered a separate species; found in India.
Allocebus trichotis,hairy-eared dwarf lemur,"['primary lowland rainforest', 'primary highland rainforest']",specialist,"['Northern Madagascar', 'Eastern Madagascar']",True,"insects, fruits, nectar, tree sap",omnivore,15.0,0.075,low,endangered,decreasing,"['hunting', 'trapping', 'slash-and-burn agriculture', 'habitat fragmentation', 'deforestation', 'localized hunting', 'human consumption', 'habitat destruction']","Nocturnal lemur endemic to Madagascar, rediscovered in 1989 after being thought extinct. Lives in patchy, restrictive distribution in primary rainforests. Population severely decreasing and fragmented. Exhibits social grooming and nests in tree hollows. Conservation efforts include captive breeding and habitat protection."
Cebus trinitatis,Trinidad white-fronted capuchin,"['primary forest', 'secondary forest']",specialist,['Trinidad'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,[],"The Trinidad white-fronted capuchin is a critically endangered primate found only on the island of Trinidad, preferring moister and less disturbed primary and secondary forests. It has a very small population of about 50 mature individuals and its taxonomic status is disputed."
Daubentonia madagascariensis,aye-aye,"['rainforest', 'dry deciduous forest', 'cultivated areas']",specialist,['Madagascar'],True,"omnivore (seeds, nuts, fruits, nectar, plant exudates, fungi, wood-boring insect larvae, honey)",primary consumer,60.0,2.0,low,endangered,decreasing,"['deforestation', 'poaching', 'killing due to superstition', 'habitat loss']",Largest nocturnal primate; uses percussive foraging with specialized middle finger to extract grubs; solitary but males may share territories; female dominant; uses echolocation to find prey; considered evil by local cultures leading to killing; captive breeding programs exist.
Eulemur mongoz,mongoose lemur,"['dry deciduous forests', 'humid forests', 'arboreal']",specialist,"['Madagascar', 'Comoros Islands']",False,"frugivore with leaves, flowers, nectar, and some insects",primary consumer,46.0,5.1290000000000004,low,critically endangered,decreasing,"['habitat destruction', 'hunting', 'habitat fragmentation']","Mongoose lemurs are arboreal primates native to Madagascar and introduced to Comoros. They have seasonal activity patterns, are both pollinators and seed dispersers, live in small family groups, and have declined by about 80% over 25 years."
Eulemur cinereiceps,gray-headed lemur,['forest'],specialist,['southeastern Madagascar'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['hunting', 'habitat loss']",Highly restricted range in southeastern Madagascar; listed among the 25 most endangered primates; habitat estimated at approximately 700 km2; taxonomic revisions have occurred with species status elevated in 2001.
Eulemur collaris,collared brown lemur,"['tropical moist lowland forest', 'montane forest', 'littoral forest']",specialist,['south-eastern Madagascar'],True,frugivore,primary consumer,92.0,2.375,low,endangered,unknown,"['habitat loss', 'slash-and-burn agriculture', 'charcoal production', 'hunting for food', 'local pet trade']","Medium-sized lemur endemic to southeastern Madagascar, cathemeral activity pattern, lives in multi-male/multi-female social groups, important seed disperser, threatened primarily by habitat loss, listed as Endangered by IUCN."
Eulemur flavifrons,blue-eyed black lemur,"['primary sub-tropical moist forest', 'secondary sub-tropical moist forest', 'primary dry forest', 'secondary dry forest']",specialist,['northwestern Madagascar'],True,"fruits, pollen, nectar, leaves, seeds, berries, rarely insects",herbivore,42.0,1.85,low,critically endangered,decreasing,"['habitat destruction', 'slash and burn agriculture', 'hunting', 'crop raiding leading to persecution']","Sexually dichromatic primate with blue eyes, lives in social groups of 4-11, females dominant, polygynous, gestation 120-129 days, weaning at 5-6 months, maturity at 2 years, cathemeral activity, important seed disperser and pollinator, highly aggressive with infanticide observed in captivity."
